Year,Country1,Country2,Whole_count,Fractional_count
1981,CAN,USA,1,1
1981,CAN,GBR,1,1
1981,EGY,GBR,1,1
1981,GBR,USA,1,0.166666667
1981,GBR,USA,1,0.166666667
1981,GBR,USA,1,0.166666667
1981,GBR,GBR,1,0.166666667
1981,GBR,GBR,1,0.166666667
1981,GBR,GBR,1,0.166666667
1981,CAN,USA,1,1
1981,CAN,IND,1,0.333333333
1981,CAN,IND,1,0.333333333
1981,CZE,GBR,1,1
1981,CAN,USA,1,0.333333333
1981,CAN,USA,1,0.333333333
1981,CAN,USA,1,1
1982,CAN,GBR,1,1
1982,GBR,USA,1,0.022222222
1982,GBR,POL,1,1
1982,GBR,HUN,1,0.333333333
1982,GBR,HUN,1,0.333333333
1982,CAN,USA,1,1
1982,CAN,USA,1,0.1
1982,CAN,USA,1,0.1
1982,CAN,USA,1,0.1
1982,CAN,USA,1,0.1
1982,GBR,USA,1,0.333333333
1982,GBR,USA,1,0.333333333
1982,GBR,JOR,1,1
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,GBR,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,DEU,GBR,1,0.066666667
1982,CAN,FIN,1,1
1983,AUS,CHN,1,1
1983,CAN,USA,1,0.166666667
1983,CAN,USA,1,0.166666667
1983,CAN,CAN,1,0.166666667
1983,CAN,USA,1,0.166666667
1983,CAN,USA,1,0.166666667
1983,CAN,USA,1,0.166666667
1983,CAN,USA,1,0.166666667
1983,CAN,USA,1,0.166666667
1983,CAN,USA,1,0.166666667
1983,CAN,CAN,1,0.166666667
1983,CAN,JPN,1,0.333333333
1983,CAN,USA,1,0.333333333
1983,GBR,ISR,1,0.333333333
1983,GBR,ISR,1,0.333333333
1983,CAN,USA,1,1
1983,CAN,DEU,1,1
1983,CAN,USA,1,1
1983,GBR,USA,1,0.333333333
1983,GBR,USA,1,0.333333333
1983,AUS,USA,1,1
1983,CAN,USA,1,0.333333333
1983,CAN,USA,1,0.333333333
1983,CAN,USA,1,1
1983,GBR,USA,1,1
1983,GBR,POL,1,1
1983,CAN,CHL,1,1
1983,CAN,USA,1,0.333333333
1983,CAN,FRA,1,0.333333333
1983,GBR,JOR,1,0.333333333
1983,GBR,JOR,1,0.333333333
1983,GBR,GBR,1,0.333333333
1983,GBR,ITA,1,0.066666667
1983,ESP,GBR,1,0.066666667
1983,GBR,USA,1,0.066666667
1983,GBR,ITA,1,0.066666667
1983,GBR,ITA,1,0.066666667
1984,CAN,USA,1,0.333333333
1984,CAN,USA,1,0.333333333
1984,CAN,CAN,1,0.333333333
1984,AUS,CAN,1,1
1984,GBR,IRL,1,1
1984,CAN,USA,1,1
1984,AUS,USA,1,1
1984,GBR,USA,1,1
1984,GBR,GBR,1,0.333333333
1984,GBR,USA,1,0.333333333
1984,GBR,USA,1,0.333333333
1984,AUS,USA,1,1
1984,CAN,CAN,1,0.333333333
1984,AUS,CAN,1,0.333333333
1984,AUS,CAN,1,0.333333333
1984,CAN,CAN,1,0.333333333
1984,CAN,JPN,1,0.333333333
1984,CAN,JPN,1,0.333333333
1984,CAN,USA,1,1
1984,CAN,JPN,1,1
1984,CAN,FRA,1,0.333333333
1984,CAN,FRA,1,0.333333333
1984,CAN,CAN,1,0.333333333
1984,CAN,JPN,1,1
1984,GBR,USA,1,0.166666667
1984,GBR,USA,1,0.166666667
1984,GBR,USA,1,0.166666667
1984,GBR,GBR,1,0.166666667
1984,GBR,GBR,1,0.166666667
1984,GBR,GBR,1,0.166666667
1984,GBR,IND,1,1
1984,CAN,IND,1,0.166666667
1984,CAN,CAN,1,0.166666667
1984,CAN,CAN,1,0.166666667
1984,CAN,IND,1,0.166666667
1984,CAN,IND,1,0.166666667
1984,CAN,CAN,1,0.166666667
1984,CAN,USA,1,1
1984,CAN,CAN,1,0.333333333
1984,CAN,IND,1,0.333333333
1984,CAN,IND,1,0.333333333
1984,AUS,USA,1,0.333333333
1984,AUS,USA,1,0.333333333
1984,GBR,SWE,1,0.333333333
1984,CAN,VEN,1,1
1984,CAN,CHN,1,1
1984,CAN,SGP,1,1
1985,GBR,USA,1,1
1985,GBR,USA,1,0.333333333
1985,GBR,USA,1,0.333333333
1985,CAN,USA,1,1
1985,GBR,GBR,1,0.333333333
1985,GBR,USA,1,0.333333333
1985,GBR,USA,1,0.333333333
1985,CAN,CAN,1,0.333333333
1985,CAN,USA,1,0.333333333
1985,CAN,USA,1,0.333333333
1985,CAN,USA,1,0.333333333
1985,CAN,USA,1,1
1985,CAN,USA,1,1
1985,FRA,GBR,1,1
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,CAN,USA,1,1
1985,CAN,USA,1,0.066666667
1985,CAN,USA,1,0.166666667
1985,CAN,USA,1,0.166666667
1985,CAN,USA,1,0.166666667
1985,GBR,IRQ,1,1
1985,AUS,USA,1,1
1985,AUS,CHE,1,1
1985,FRA,GBR,1,1
1985,GBR,NZL,1,1
1985,AUS,USA,1,0.333333333
1985,AUS,USA,1,0.333333333
1986,CAN,CAN,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,CAN,DEU,1,0.333333333
1986,CAN,DEU,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,CAN,ISR,1,0.333333333
1986,CAN,DEU,1,0.1
1986,CAN,DEU,1,0.1
1986,CAN,DEU,1,0.1
1986,CAN,DEU,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
1986,CAN,USA,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,FRA,GBR,1,1
1986,CAN,USA,1,0.166666667
1986,CAN,USA,1,0.166666667
1986,CAN,USA,1,0.166666667
1986,AUS,JPN,1,1
1986,GBR,USA,1,1
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,GBR,GBR,1,0.333333333
1987,CAN,GBR,1,0.333333333
1987,CAN,GBR,1,0.333333333
1987,JPN,NZL,1,1
1987,AUS,ISR,1,0.166666667
1987,AUS,ISR,1,0.166666667
1987,ISR,NZL,1,0.166666667
1987,AUS,AUS,1,0.166666667
1987,AUS,NZL,1,0.166666667
1987,AUS,NZL,1,0.166666667
1987,GBR,ISR,1,0.333333333
1987,GBR,ISR,1,0.333333333
1987,CAN,GBR,1,0.166666667
1987,CAN,GBR,1,0.166666667
1987,CAN,GBR,1,0.166666667
1987,CAN,CAN,1,0.166666667
1987,CAN,CAN,1,0.166666667
1987,CAN,CAN,1,0.166666667
1987,CAN,USA,1,1
1987,CAN,USA,1,1
1987,GBR,USA,1,0.333333333
1987,GBR,SGP,1,0.333333333
1987,CAN,IND,1,0.333333333
1987,CAN,CAN,1,0.333333333
1987,CAN,IND,1,0.333333333
1987,GBR,GBR,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,ITA,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,ITA,1,0.1
1987,GBR,GBR,1,0.1
1987,GBR,ITA,1,0.1
1987,GBR,ITA,1,0.1
1987,CAN,USA,1,1
1987,GBR,ITA,1,1
1987,BRA,CAN,1,0.166666667
1987,BRA,CAN,1,0.166666667
1987,BRA,CAN,1,0.166666667
1987,CAN,USA,1,1
1987,CAN,GBR,1,1
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,FRA,GBR,1,0.166666667
1987,CAN,USA,1,0.333333333
1987,CAN,USA,1,0.333333333
1987,GBR,HKG,1,1
1987,CAN,GBR,1,0.333333333
1987,GBR,GBR,1,0.333333333
1987,CAN,GBR,1,0.333333333
1988,AUS,CHN,1,1
1988,AUS,GBR,1,0.1
1988,GBR,NLD,1,0.1
1988,AUS,NLD,1,0.1
1988,GBR,JPN,1,0.166666667
1988,CAN,USA,1,1
